127.0.0.1 - - [14/May/2017:11:23:49 +0200] "POST /zkau HTTP/1.1" 200 50
192.168.133.1 - - [14/May/2017:11:23:52 +0200] "GET /index.zul?target=/tenants/tenants.zul HTTP/1.1" 200 2920
192.168.133.1 - - [14/May/2017:11:23:52 +0200] "GET /zkau/web/zkex/zul/css/layout.css.dsp HTTP/1.1" 200 581
192.168.133.1 - - [14/May/2017:11:23:52 +0200] "GET /zkau/web/js/ext/Codepress/codepress.js HTTP/1.1" 304 -
192.168.133.1 - - [14/May/2017:11:23:52 +0200] "GET /zkau/web/js/ext/codemirror/lib/codemirror.js HTTP/1.1" 304 -
192.168.133.1 - - [14/May/2017:11:23:52 +0200] "GET /zkau/web/styles/estil.css HTTP/1.1" 304 -
192.168.133.1 - - [14/May/2017:11:23:52 +0200] "GET /css/localSEU.css HTTP/1.1" 304 -
192.168.133.1 - - [14/May/2017:11:23:52 +0200] "GET /zkau/web/zul/css/normsaf.css.dsp HTTP/1.1" 200 5037
192.168.133.1 - - [14/May/2017:11:23:52 +0200] "GET /anonymous/logo.png HTTP/1.1" 304 -
192.168.133.1 - - [14/May/2017:11:23:52 +0200] "GET /zkau/web/js/zk/zk.js.dsp HTTP/1.1" 200 42444
192.168.133.1 - - [14/May/2017:11:23:56 +0200] "POST /j_security_check HTTP/1.1" 200 2926
192.168.133.1 - - [14/May/2017:11:23:56 +0200] "POST /zkau HTTP/1.1" 200 50
192.168.133.1 - - [14/May/2017:11:23:56 +0200] "GET /zkau/web/zul/css/normsaf.css.dsp HTTP/1.1" 200 5037
192.168.133.1 - - [14/May/2017:11:23:56 +0200] "GET /zkau/web/zkex/zul/css/layout.css.dsp HTTP/1.1" 200 581
192.168.133.1 - - [14/May/2017:11:23:56 +0200] "GET /zkau/web/js/zk/zk.js.dsp HTTP/1.1" 200 42444
192.168.133.1 - - [14/May/2017:11:24:05 +0200] "POST /j_security_check HTTP/1.1" 302 -
192.168.133.1 - master\admin [14/May/2017:11:24:08 +0200] "GET /index.zul?target=/tenants/tenants.zul HTTP/1.1" 200 6326
192.168.133.1 - master\admin [14/May/2017:11:24:08 +0200] "GET /zkau/web/zkex/zul/css/layout.css.dsp HTTP/1.1" 200 581
192.168.133.1 - master\admin [14/May/2017:11:24:08 +0200] "GET /css/devices.css HTTP/1.1" 304 -
192.168.133.1 - master\admin [14/May/2017:11:24:08 +0200] "GET /zkau/web/zul/css/normsaf.css.dsp HTTP/1.1" 200 5037
192.168.133.1 - master\admin [14/May/2017:11:24:08 +0200] "GET /styles/estil.css HTTP/1.1" 404 631
192.168.133.1 - master\admin [14/May/2017:11:24:08 +0200] "GET /icons/logo-letras.png HTTP/1.1" 304 -
192.168.133.1 - master\admin [14/May/2017:11:24:08 +0200] "GET /icons/downself.png HTTP/1.1" 304 -
192.168.133.1 - master\admin [14/May/2017:11:24:08 +0200] "GET /zkau/web/zul/img/close-off.gif HTTP/1.1" 304 -
192.168.133.1 - master\admin [14/May/2017:11:24:08 +0200] "GET /img/right.png HTTP/1.1" 200 310
192.168.133.1 - master\admin [14/May/2017:11:24:08 +0200] "GET /zkau/web/js/zk/zk.js.dsp HTTP/1.1" 200 42341
192.168.133.1 - master\admin [14/May/2017:11:24:08 +0200] "GET /img/waitpacman.gif HTTP/1.1" 304 -
192.168.133.1 - master\admin [14/May/2017:11:24:08 +0200] "GET /styles/estil.css HTTP/1.1" 404 631
192.168.133.1 - master\admin [14/May/2017:11:24:08 +0200] "GET /zkau/web/img/dot.gif HTTP/1.1" 304 -
192.168.133.1 - master\admin [14/May/2017:11:24:09 +0200] "GET /zkau/web/_zv08100809/_zcbzk.ald-0/js/zul/box.js HTTP/1.1" 304 -
192.168.133.1 - master\admin [14/May/2017:11:24:09 +0200] "GET /zkau/web/_zv08100809/_zcbzk.ald-1/js/zul/wnd.js HTTP/1.1" 304 -
192.168.133.1 - master\admin [14/May/2017:11:24:09 +0200] "GET /zkau/web/_zv08100809/_zcbzk.ald-2/js/zul/widget.js HTTP/1.1" 304 -
192.168.133.1 - master\admin [14/May/2017:11:24:09 +0200] "GET /zkau/web/_zv08100809/_zcbzk.ald-3/js/zul/tree.js HTTP/1.1" 200 1860
192.168.133.1 - master\admin [14/May/2017:11:24:09 +0200] "GET /zkau/web/_zv08100809/_zcbzk.ald-4/js/zul/sel.js HTTP/1.1" 200 6694
192.168.133.1 - master\admin [14/May/2017:11:24:09 +0200] "GET /zkau/web/_zv08100809/_zcbzk.ald-6/js/zul/vd.js HTTP/1.1" 304 -
192.168.133.1 - master\admin [14/May/2017:11:24:09 +0200] "GET /zkau/web/_zv08100809/_zcbzk.ald-5/js/zul/zul.js HTTP/1.1" 304 -
192.168.133.1 - master\admin [14/May/2017:11:24:09 +0200] "GET /zkau/web/_zv08100809/_zcbzk.ald-7/js/zul/lang/msgzul*.js HTTP/1.1" 200 182
192.168.133.1 - master\admin [14/May/2017:11:24:09 +0200] "POST /zkau HTTP/1.1" 200 50
192.168.133.1 - master\admin [14/May/2017:11:24:36 +0200] "POST /zkau HTTP/1.1" 200 188
192.168.133.1 - master\admin [14/May/2017:11:24:36 +0200] "GET /img/down.png HTTP/1.1" 200 297
192.168.133.1 - master\admin [14/May/2017:11:28:56 +0200] "GET /index.zul?target=/tenants/tenants.zul HTTP/1.1" 200 6325
192.168.133.1 - master\admin [14/May/2017:11:28:56 +0200] "GET /zkau/web/zkex/zul/css/layout.css.dsp HTTP/1.1" 200 581
192.168.133.1 - master\admin [14/May/2017:11:28:56 +0200] "GET /zkau/web/zul/css/normsaf.css.dsp HTTP/1.1" 200 5037
192.168.133.1 - master\admin [14/May/2017:11:28:56 +0200] "GET /styles/estil.css HTTP/1.1" 404 631
192.168.133.1 - master\admin [14/May/2017:11:28:56 +0200] "GET /css/devices.css HTTP/1.1" 304 -
192.168.133.1 - master\admin [14/May/2017:11:28:56 +0200] "GET /zkau/web/js/zk/zk.js.dsp HTTP/1.1" 200 42341
192.168.133.1 - master\admin [14/May/2017:11:28:56 +0200] "GET /styles/estil.css HTTP/1.1" 404 631
192.168.133.1 - master\admin [14/May/2017:11:28:56 +0200] "GET /zkau/web/_zv08100809/_zcbzk.ald-0/js/zul/box.js HTTP/1.1" 304 -
192.168.133.1 - master\admin [14/May/2017:11:28:56 +0200] "GET /zkau/web/_zv08100809/_zcbzk.ald-1/js/zul/wnd.js HTTP/1.1" 304 -
192.168.133.1 - master\admin [14/May/2017:11:28:56 +0200] "GET /zkau/web/_zv08100809/_zcbzk.ald-2/js/zul/widget.js HTTP/1.1" 304 -
192.168.133.1 - master\admin [14/May/2017:11:28:56 +0200] "GET /zkau/web/_zv08100809/_zcbzk.ald-3/js/zul/tree.js HTTP/1.1" 304 -
192.168.133.1 - master\admin [14/May/2017:11:28:56 +0200] "GET /zkau/web/_zv08100809/_zcbzk.ald-4/js/zul/zul.js HTTP/1.1" 304 -
192.168.133.1 - master\admin [14/May/2017:11:28:56 +0200] "GET /zkau/web/_zv08100809/_zcbzk.ald-5/js/zul/vd.js HTTP/1.1" 304 -
192.168.133.1 - master\admin [14/May/2017:11:28:56 +0200] "GET /zkau/web/_zv08100809/_zcbzk.ald-6/js/zul/sel.js HTTP/1.1" 200 6694
192.168.133.1 - master\admin [14/May/2017:11:28:56 +0200] "GET /zkau/web/_zv08100809/_zcbzk.ald-7/js/zul/lang/msgzul*.js HTTP/1.1" 200 182
192.168.133.1 - master\admin [14/May/2017:11:28:56 +0200] "POST /zkau HTTP/1.1" 200 50
192.168.133.1 - master\admin [14/May/2017:11:38:08 +0200] "GET /index.zul?target=/tenants/tenants.zul HTTP/1.1" 200 6433
192.168.133.1 - master\admin [14/May/2017:11:38:08 +0200] "GET /zkau/web/zkex/zul/css/layout.css.dsp HTTP/1.1" 200 581
192.168.133.1 - master\admin [14/May/2017:11:38:08 +0200] "GET /zkau/web/zul/css/normsaf.css.dsp HTTP/1.1" 200 5037
192.168.133.1 - master\admin [14/May/2017:11:38:08 +0200] "GET /css/devices.css HTTP/1.1" 304 -
192.168.133.1 - master\admin [14/May/2017:11:38:08 +0200] "GET /zkau/web/img/reload-petit16.png HTTP/1.1" 304 -
192.168.133.1 - master\admin [14/May/2017:11:38:08 +0200] "GET /zkau/web/img/fletxa_cerca.gif HTTP/1.1" 304 -
192.168.133.1 - master\admin [14/May/2017:11:38:08 +0200] "GET /zkau/web/img/list-add.gif HTTP/1.1" 304 -
192.168.133.1 - master\admin [14/May/2017:11:38:08 +0200] "GET /zkau/web/js/zk/zk.js.dsp HTTP/1.1" 200 42341
192.168.133.1 - master\admin [14/May/2017:11:38:08 +0200] "GET /zkau/web/img/list-remove.gif HTTP/1.1" 304 -
192.168.133.1 - master\admin [14/May/2017:11:38:08 +0200] "GET /zkau/web/img/document-save.gif HTTP/1.1" 304 -
192.168.133.1 - master\admin [14/May/2017:11:38:08 +0200] "GET /zkau/web/img/document-undo.gif HTTP/1.1" 304 -
192.168.133.1 - master\admin [14/May/2017:11:38:08 +0200] "GET /zkau/web/img/tanca.png HTTP/1.1" 304 -
192.168.133.1 - master\admin [14/May/2017:11:38:08 +0200] "GET /zkau/web/img/sort_hint.png HTTP/1.1" 304 -
192.168.133.1 - master\admin [14/May/2017:11:38:08 +0200] "GET /zkau/web/zul/img/grid/s_hd.gif HTTP/1.1" 304 -
192.168.133.1 - master\admin [14/May/2017:11:38:08 +0200] "GET /zkau/web/_zv08100809/_zcbzk.ald-0/js/zul/box.js HTTP/1.1" 304 -
192.168.133.1 - master\admin [14/May/2017:11:38:08 +0200] "GET /zkau/web/_zv08100809/_zcbzk.ald-1/js/zul/wnd.js HTTP/1.1" 304 -
192.168.133.1 - master\admin [14/May/2017:11:38:08 +0200] "GET /zkau/web/_zv08100809/_zcbzk.ald-2/js/zul/widget.js HTTP/1.1" 304 -
192.168.133.1 - master\admin [14/May/2017:11:38:08 +0200] "GET /zkau/web/_zv08100809/_zcbzk.ald-5/js/zul/grid.js HTTP/1.1" 304 -
192.168.133.1 - master\admin [14/May/2017:11:38:08 +0200] "GET /zkau/web/_zv08100809/_zcbzk.ald-3/js/zul/sel.js HTTP/1.1" 304 -
192.168.133.1 - master\admin [14/May/2017:11:38:08 +0200] "GET /zkau/web/_zv08100809/_zcbzk.ald-6/js/zul/tree.js HTTP/1.1" 304 -
192.168.133.1 - master\admin [14/May/2017:11:38:08 +0200] "GET /zkau/web/_zv08100809/_zcbzk.ald-4/js/zul/zul.js HTTP/1.1" 304 -
192.168.133.1 - master\admin [14/May/2017:11:38:09 +0200] "GET /zkau/web/_zv08100809/_zcbzk.ald-7/js/zul/vd.js HTTP/1.1" 304 -
192.168.133.1 - master\admin [14/May/2017:11:38:09 +0200] "GET /zkau/web/_zv08100809/_zcbzk.ald-8/js/zul/lang/msgzul*.js HTTP/1.1" 200 182
192.168.133.1 - master\admin [14/May/2017:11:38:09 +0200] "POST /zkau HTTP/1.1" 200 50
192.168.133.1 - master\admin [14/May/2017:11:38:11 +0200] "POST /zkau HTTP/1.1" 200 1374
192.168.133.1 - master\admin [14/May/2017:11:38:13 +0200] "POST /zkau HTTP/1.1" 200 1414
192.168.133.1 - master\admin [14/May/2017:11:39:03 +0200] "GET /index.zul?target=/tenants/tenants.zul HTTP/1.1" 200 6434
192.168.133.1 - master\admin [14/May/2017:11:39:03 +0200] "POST /zkau HTTP/1.1" 200 50
192.168.133.1 - master\admin [14/May/2017:11:39:03 +0200] "GET /zkau/web/zkex/zul/css/layout.css.dsp HTTP/1.1" 200 581
192.168.133.1 - master\admin [14/May/2017:11:39:03 +0200] "GET /css/devices.css HTTP/1.1" 304 -
192.168.133.1 - master\admin [14/May/2017:11:39:03 +0200] "GET /zkau/web/zul/css/normsaf.css.dsp HTTP/1.1" 200 5037
192.168.133.1 - master\admin [14/May/2017:11:39:03 +0200] "GET /zkau/web/js/zk/zk.js.dsp HTTP/1.1" 200 42341
192.168.133.1 - master\admin [14/May/2017:11:39:04 +0200] "GET /zkau/web/_zv08100809/_zcbzk.ald-0/js/zul/box.js HTTP/1.1" 304 -
192.168.133.1 - master\admin [14/May/2017:11:39:04 +0200] "GET /zkau/web/_zv08100809/_zcbzk.ald-2/js/zul/widget.js HTTP/1.1" 304 -
192.168.133.1 - master\admin [14/May/2017:11:39:04 +0200] "GET /zkau/web/_zv08100809/_zcbzk.ald-1/js/zul/wnd.js HTTP/1.1" 304 -
192.168.133.1 - master\admin [14/May/2017:11:39:04 +0200] "GET /zkau/web/_zv08100809/_zcbzk.ald-4/js/zul/zul.js HTTP/1.1" 304 -
192.168.133.1 - master\admin [14/May/2017:11:39:04 +0200] "GET /zkau/web/_zv08100809/_zcbzk.ald-5/js/zul/grid.js HTTP/1.1" 304 -
192.168.133.1 - master\admin [14/May/2017:11:39:04 +0200] "GET /zkau/web/_zv08100809/_zcbzk.ald-3/js/zul/sel.js HTTP/1.1" 304 -
192.168.133.1 - master\admin [14/May/2017:11:39:04 +0200] "GET /zkau/web/_zv08100809/_zcbzk.ald-6/js/zul/tree.js HTTP/1.1" 304 -
192.168.133.1 - master\admin [14/May/2017:11:39:04 +0200] "GET /zkau/web/_zv08100809/_zcbzk.ald-7/js/zul/vd.js HTTP/1.1" 304 -
192.168.133.1 - master\admin [14/May/2017:11:39:04 +0200] "GET /zkau/web/_zv08100809/_zcbzk.ald-8/js/zul/lang/msgzul*.js HTTP/1.1" 200 182
192.168.133.1 - master\admin [14/May/2017:11:39:05 +0200] "GET /index.zul?target=/tenants/tenants.zul HTTP/1.1" 200 6434
192.168.133.1 - master\admin [14/May/2017:11:39:06 +0200] "GET /zkau/web/js/zk/zk.js.dsp HTTP/1.1" 200 42341
192.168.133.1 - master\admin [14/May/2017:11:39:06 +0200] "GET /zkau/web/zkex/zul/css/layout.css.dsp HTTP/1.1" 200 581
192.168.133.1 - master\admin [14/May/2017:11:39:06 +0200] "GET /zkau/web/zul/css/normsaf.css.dsp HTTP/1.1" 200 5037
192.168.133.1 - master\admin [14/May/2017:11:39:06 +0200] "GET /zkau/web/_zv08100809/_zcbzk.ald-0/js/zul/box.js HTTP/1.1" 304 -
192.168.133.1 - master\admin [14/May/2017:11:39:06 +0200] "GET /zkau/web/_zv08100809/_zcbzk.ald-1/js/zul/wnd.js HTTP/1.1" 304 -
192.168.133.1 - master\admin [14/May/2017:11:39:06 +0200] "GET /zkau/web/_zv08100809/_zcbzk.ald-2/js/zul/widget.js HTTP/1.1" 304 -
192.168.133.1 - master\admin [14/May/2017:11:39:06 +0200] "GET /zkau/web/_zv08100809/_zcbzk.ald-4/js/zul/zul.js HTTP/1.1" 304 -
192.168.133.1 - master\admin [14/May/2017:11:39:06 +0200] "GET /zkau/web/_zv08100809/_zcbzk.ald-5/js/zul/grid.js HTTP/1.1" 304 -
192.168.133.1 - master\admin [14/May/2017:11:39:06 +0200] "GET /zkau/web/_zv08100809/_zcbzk.ald-3/js/zul/sel.js HTTP/1.1" 304 -
192.168.133.1 - master\admin [14/May/2017:11:39:06 +0200] "GET /zkau/web/_zv08100809/_zcbzk.ald-6/js/zul/tree.js HTTP/1.1" 304 -
192.168.133.1 - master\admin [14/May/2017:11:39:06 +0200] "GET /zkau/web/_zv08100809/_zcbzk.ald-7/js/zul/vd.js HTTP/1.1" 304 -
192.168.133.1 - master\admin [14/May/2017:11:39:06 +0200] "GET /zkau/web/_zv08100809/_zcbzk.ald-8/js/zul/lang/msgzul*.js HTTP/1.1" 200 182
192.168.133.1 - master\admin [14/May/2017:11:39:06 +0200] "POST /zkau HTTP/1.1" 200 50
192.168.133.1 - master\admin [14/May/2017:11:39:08 +0200] "POST /zkau HTTP/1.1" 200 1374
192.168.133.1 - master\admin [14/May/2017:11:39:11 +0200] "POST /zkau HTTP/1.1" 200 1415
192.168.133.1 - master\admin [14/May/2017:11:39:17 +0200] "POST /zkau HTTP/1.1" 200 1733
192.168.133.1 - master\admin [14/May/2017:11:39:17 +0200] "GET /styles/estil.css HTTP/1.1" 404 631
192.168.133.1 - master\admin [14/May/2017:11:39:17 +0200] "GET /zkau/web/img/dot.gif HTTP/1.1" 304 -
192.168.133.1 - master\admin [14/May/2017:11:39:17 +0200] "GET /zkau/web/zul/img/close-off.gif HTTP/1.1" 304 -
192.168.133.1 - master\admin [14/May/2017:11:39:17 +0200] "GET /img/right.png HTTP/1.1" 304 -
192.168.133.1 - master\admin [14/May/2017:11:39:54 +0200] "POST /zkau HTTP/1.1" 200 188
192.168.133.1 - master\admin [14/May/2017:11:39:54 +0200] "GET /img/down.png HTTP/1.1" 304 -
192.168.133.1 - - [14/May/2017:11:47:28 +0200] "GET /index.zul?target=/tenants/tenants.zul HTTP/1.1" 200 2920
192.168.133.1 - - [14/May/2017:11:47:28 +0200] "GET /zkau/web/zkex/zul/css/layout.css.dsp HTTP/1.1" 200 581
192.168.133.1 - - [14/May/2017:11:47:28 +0200] "GET /zkau/web/js/zk/zk.js.dsp HTTP/1.1" 200 42444
192.168.133.1 - - [14/May/2017:11:47:28 +0200] "GET /zkau/web/zul/css/normsaf.css.dsp HTTP/1.1" 200 5037
192.168.133.1 - - [14/May/2017:11:47:33 +0200] "POST /j_security_check HTTP/1.1" 302 -
192.168.133.1 - master\admin [14/May/2017:11:47:35 +0200] "GET /index.zul?target=/tenants/tenants.zul HTTP/1.1" 200 6432
192.168.133.1 - master\admin [14/May/2017:11:47:35 +0200] "POST /zkau HTTP/1.1" 200 50
192.168.133.1 - master\admin [14/May/2017:11:47:35 +0200] "GET /zkau/web/zkex/zul/css/layout.css.dsp HTTP/1.1" 200 581
192.168.133.1 - master\admin [14/May/2017:11:47:35 +0200] "GET /css/devices.css HTTP/1.1" 200 10087
192.168.133.1 - master\admin [14/May/2017:11:47:35 +0200] "GET /zkau/web/zul/css/normsaf.css.dsp HTTP/1.1" 200 5037
192.168.133.1 - master\admin [14/May/2017:11:47:35 +0200] "GET /zkau/web/js/zk/zk.js.dsp HTTP/1.1" 200 42341
192.168.133.1 - master\admin [14/May/2017:11:47:36 +0200] "GET /zkau/web/_zv08100809/_zcbzk.ald-0/js/zul/box.js HTTP/1.1" 200 2526
